Company_ID,Cluster_Profile,Industry,Employees,City,Primary_Challenge,Motivation_for_AI,Leadership_Alignment,AI_Strategy_Cohesion,Market_Hype_Impact,Responsibility_Ownership,AI_Budget_Allocation,Compliance_Feasibility,Use_Case_Prioritization,Business_Value_Tracking,Operational_Integration,Data_Collection_Breadth,Data_Quality_Management,Data_Accessibility,Cloud_Infrastructure,Tooling_BI_Adoption,API_Integration_Level,Project_Mgmt_Effectiveness,Deployment_Speed,Scaling_Capability,Workforce_AI_Skills,Leadership_AI_Familiarity,Training_Programs,Psychological_Safety,Internal_Innovation_Push,Change_Mgmt_Readiness,AI_Ethics_Awareness,Vendor_Partnership_Mgmt,Continuous_Model_Monitoring,Data_Security_Standards,Collaboration_IT_Business,Customer_Data_Usage,Employee_Data_Usage,Operational_Metrics_Usage,Automation_Degree,Future_AI_Investment
CMP-3585,1. The Traditionalist,Healthcare,251-500,Munich,Data Insights,2,2,1,3,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,5,2,1,1,1
CMP-7924,1. The Traditionalist,Healthcare,51-250,Munich,Customer Service Efficiency,1,1,1,1,1,1,1,1,1,2,5,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1
CMP-7255,1. The Traditionalist,Logistics,1-50,Munich,Search/Recommendations,2,2,2,2,2,1,1,1,1,1,1,1,1,1,5,1,2,3,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1
CMP-1140,1. The Traditionalist,Retail,51-250,Stuttgart,Task Automation,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,2,1,1,1,1
CMP-6075,1. The Traditionalist,Manufacturing,51-250,Berlin,Cost Reduction,1,2,1,1,1,1,2,1,1,1,1,1,5,1,5,2,1,1,1,2,1,1,1,1,1,3,1,2,4,2,1,2,1,1,1
CMP-9992,1. The Traditionalist,Manufacturing,251-500,Hamburg,Customer Service Efficiency,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,2,2,2,2,1,1,1
CMP-4282,1. The Traditionalist,Retail,1-50,Cologne,Task Automation,1,1,1,5,1,1,1,2,1,2,1,1,1,1,1,1,5,1,1,1,2,1,1,4,1,2,1,1,1,1,1,1,1,1,2
CMP-8118,1. The Traditionalist,Manufacturing,1-50,Stuttgart,Document Processing,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1
CMP-4013,1. The Traditionalist,Finance,251-500,Frankfurt,Task Automation,1,4,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,2,1,2
CMP-8733,1. The Traditionalist,Services,51-250,Stuttgart,Customer Service Efficiency,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,5,2,1,2,2,1,1,5,2,1,4,1,2,1,1,2
CMP-3127,1. The Traditionalist,Services,51-250,Munich,Data Insights,1,1,1,2,1,1,1,1,1,4,1,2,5,1,1,5,2,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,3,2
CMP-5361,1. The Traditionalist,Finance,1-50,Stuttgart,Data Insights,1,4,1,1,1,4,1,2,2,1,2,1,1,1,3,1,1,1,2,2,2,1,2,1,1,5,1,1,1,1,1,1,1,2,2
CMP-5178,1. The Traditionalist,Healthcare,251-500,Berlin,Task Automation,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,5,1,1,1,2,2,2,1,4,1,2,4,1,1,3,2,2,1,1
CMP-8874,1. The Traditionalist,Healthcare,51-250,Stuttgart,Document Processing,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
CMP-8214,1. The Traditionalist,Healthcare,1-50,Cologne,Customer Service Efficiency,1,1,1,1,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,5,1,2,1,1,2,1,1,2,1,1,3,2
CMP-1716,1. The Traditionalist,Services,1-50,Hamburg,Document Processing,1,1,1,1,3,5,1,1,5,3,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,2,2
CMP-4188,1. The Traditionalist,Manufacturing,251-500,Munich,Data Insights,1,1,1,5,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,4,1,1,1,4,1,2,2
CMP-7724,1. The Traditionalist,Manufacturing,1-50,Frankfurt,Task Automation,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,5,1,2,2,1,2,1,1
CMP-6515,1. The Traditionalist,Finance,51-250,Berlin,Customer Service Efficiency,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,3,1,1,1,5,2
CMP-6059,1. The Traditionalist,Services,51-250,Stuttgart,Cost Reduction,1,1,1,1,4,1,1,1,1,1,1,2,4,1,1,1,2,2,3,1,1,1,1,1,2,1,1,1,1,1,5,1,1,2,4
CMP-3380,1. The Traditionalist,Retail,1-50,Stuttgart,Customer Service Efficiency,1,1,1,1,1,5,1,4,4,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,5,5,1,1,1,1,2,2
CMP-8925,1. The Traditionalist,Healthcare,251-500,Stuttgart,Search/Recommendations,1,1,2,1,5,1,1,2,2,4,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
CMP-8187,1. The Traditionalist,Services,51-250,Frankfurt,Data Insights,1,1,2,1,1,1,5,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1
CMP-2045,1. The Traditionalist,Services,251-500,Cologne,Cost Reduction,2,1,1,3,1,2,1,1,3,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1
CMP-5771,1. The Traditionalist,Services,251-500,Frankfurt,Data Insights,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,1,2,2,1,1,1,1,1,1
CMP-3121,1. The Traditionalist,Retail,1-50,Stuttgart,Search/Recommendations,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,5,1,1,1,1,5,1,1,1
CMP-5136,1. The Traditionalist,Retail,251-500,Berlin,Customer Service Efficiency,1,2,1,1,2,1,1,5,1,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,5,2,1,1,2,1,1
CMP-6488,1. The Traditionalist,Retail,251-500,Munich,Cost Reduction,1,5,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
CMP-5591,1. The Traditionalist,Manufacturing,1-50,Frankfurt,Cost Reduction,1,1,1,1,1,4,2,1,2,3,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,5,1
CMP-2661,1. The Traditionalist,Manufacturing,51-250,Cologne,Document Processing,1,1,1,4,1,1,1,1,1,2,1,2,1,1,1,1,3,1,3,2,1,2,2,1,2,4,1,1,3,2,2,3,1,1,1
CMP-8328,1. The Traditionalist,Tech SME,1-50,Hamburg,Customer Service Efficiency,1,4,1,1,1,5,1,1,1,5,5,1,1,1,2,2,1,2,2,1,4,1,1,1,1,2,4,2,1,1,1,1,2,1,1
CMP-3874,1. The Traditionalist,Tech SME,51-250,Hamburg,Cost Reduction,2,1,1,1,1,1,1,1,5,1,1,2,1,1,1,2,1,3,1,2,1,1,2,1,2,1,4,1,1,1,2,1,1,3,3
CMP-3434,1. The Traditionalist,Tech SME,51-250,Cologne,Customer Service Efficiency,1,1,1,1,1,1,2,3,1,1,1,1,1,1,3,2,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,1,4,1,1
CMP-6111,1. The Traditionalist,Finance,251-500,Hamburg,Document Processing,1,1,1,1,1,2,3,1,1,2,1,1,1,1,5,1,2,1,1,1,3,1,2,1,1,1,2,1,2,1,2,1,1,5,2
CMP-6026,1. The Traditionalist,Logistics,1-50,Cologne,Data Insights,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,1,1,1,1
CMP-5278,1. The Traditionalist,Tech SME,51-250,Stuttgart,Data Insights,1,1,3,1,1,1,1,5,1,1,1,1,1,1,1,3,1,4,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2
CMP-7120,1. The Traditionalist,Retail,51-250,Stuttgart,Task Automation,1,5,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1
CMP-3862,1. The Traditionalist,Logistics,1-50,Frankfurt,Task Automation,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,4,1,2,1,1,4,1,1,2,1,1,1,4,1,1,2
CMP-2920,1. The Traditionalist,Tech SME,251-500,Cologne,Task Automation,2,5,1,1,2,1,1,4,1,2,2,1,4,1,1,1,3,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,2
CMP-7426,1. The Traditionalist,Healthcare,251-500,Munich,Task Automation,4,1,1,1,2,3,1,2,2,1,1,1,1,1,1,4,2,2,1,5,2,1,1,2,5,1,1,4,1,4,5,2,3,1,2
CMP-3709,1. The Traditionalist,Finance,1-50,Stuttgart,Cost Reduction,1,1,1,5,1,1,1,1,1,2,1,5,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,4,1,2,1,1,2,2,2
CMP-1063,1. The Traditionalist,Logistics,51-250,Hamburg,Document Processing,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
CMP-6415,1. The Traditionalist,Retail,51-250,Stuttgart,Cost Reduction,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,5,1,1,1,1,1,1,2,1,5,1,1,1,1,2,1,1,1
CMP-4880,1. The Traditionalist,Tech SME,1-50,Cologne,Search/Recommendations,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,5,3,1,1,2,2,3,1,1,1,2,1,2,1,1,1,2,1,1,1
CMP-6922,1. The Traditionalist,Healthcare,251-500,Cologne,Search/Recommendations,1,4,1,2,5,1,3,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1
CMP-6430,1. The Traditionalist,Services,251-500,Stuttgart,Search/Recommendations,1,1,3,1,1,1,1,5,1,1,1,1,2,2,1,5,1,1,4,1,1,1,2,1,1,2,2,5,3,1,1,1,1,2,1
CMP-3164,1. The Traditionalist,Manufacturing,1-50,Munich,Cost Reduction,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1
CMP-9806,1. The Traditionalist,Retail,1-50,Munich,Customer Service Efficiency,1,1,5,4,1,2,1,1,3,2,2,2,1,1,1,2,1,3,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1
CMP-4490,1. The Traditionalist,Manufacturing,251-500,Munich,Data Insights,1,2,5,1,1,1,2,1,1,4,1,2,1,3,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1
CMP-2488,1. The Traditionalist,Finance,1-50,Berlin,Document Processing,1,2,2,1,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1
CMP-7806,1. The Traditionalist,Services,251-500,Cologne,Document Processing,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,4,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1
CMP-5671,1. The Traditionalist,Healthcare,1-50,Cologne,Search/Recommendations,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,2,5,1,1,2,2,1,1,1,1,1,5,1
CMP-1107,1. The Traditionalist,Services,51-250,Munich,Document Processing,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,5,2,1,1,1,1,2,1,1
CMP-6333,1. The Traditionalist,Services,1-50,Stuttgart,Task Automation,1,5,2,1,3,2,1,2,2,2,1,1,2,1,1,4,1,1,1,2,2,1,1,1,1,4,1,1,2,1,1,1,1,1,1
CMP-8833,1. The Traditionalist,Tech SME,1-50,Stuttgart,Task Automation,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,4,1,1,1,4,2,1,2,5,1,3,1,1,1,1,1,1
CMP-6634,1. The Traditionalist,Retail,51-250,Stuttgart,Search/Recommendations,1,2,1,2,2,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,1,1,2,1,2,1,1,1,5,1,1
CMP-8186,1. The Traditionalist,Manufacturing,251-500,Frankfurt,Search/Recommendations,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,2,1,1,5,2,1,1,1,2,2,1,2,1,2,1,1,4,1,2,1
CMP-9354,1. The Traditionalist,Retail,251-500,Frankfurt,Data Insights,2,1,5,1,1,2,5,3,1,1,1,5,2,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,2,1,2,5,1,1
CMP-6316,1. The Traditionalist,Manufacturing,251-500,Cologne,Search/Recommendations,1,1,2,1,1,2,2,1,5,1,1,1,4,1,1,1,1,1,1,1,1,2,5,1,1,1,1,3,2,1,1,1,1,1,1
CMP-8757,1. The Traditionalist,Services,51-250,Cologne,Cost Reduction,1,1,1,2,1,1,1,1,1,1,1,2,1,1,4,1,1,1,4,5,1,1,1,1,1,3,2,1,2,1,2,2,1,3,1
CMP-8354,1. The Traditionalist,Finance,1-50,Hamburg,Document Processing,1,2,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,4,5,1,4,1
CMP-3398,1. The Traditionalist,Finance,251-500,Frankfurt,Customer Service Efficiency,1,1,2,1,4,2,1,1,1,1,1,1,2,1,2,1,1,5,1,2,1,1,1,2,2,1,4,1,1,1,1,3,2,1,1
CMP-5893,1. The Traditionalist,Logistics,51-250,Berlin,Customer Service Efficiency,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1
CMP-5609,1. The Traditionalist,Manufacturing,51-250,Cologne,Document Processing,1,1,4,1,1,1,1,1,1,1,3,1,1,2,2,1,1,2,1,1,2,1,2,4,2,1,1,1,1,2,1,1,1,1,1
CMP-1751,1. The Traditionalist,Healthcare,1-50,Hamburg,Search/Recommendations,4,1,1,1,2,1,1,1,1,1,1,1,2,4,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1
CMP-5618,1. The Traditionalist,Finance,251-500,Munich,Customer Service Efficiency,1,3,1,2,4,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,4,1,1,1,1,1
CMP-6488,1. The Traditionalist,Services,1-50,Hamburg,Cost Reduction,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,5,1,1,1,2,2,1,1,4,1,1,1,1
CMP-3141,1. The Traditionalist,Services,51-250,Frankfurt,Data Insights,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
CMP-9726,1. The Traditionalist,Services,51-250,Munich,Customer Service Efficiency,1,3,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1
CMP-2045,1. The Traditionalist,Tech SME,1-50,Berlin,Cost Reduction,5,2,1,2,2,2,2,2,5,1,1,2,1,3,1,1,1,3,1,1,4,1,1,4,1,1,1,1,5,3,4,5,1,1,1
CMP-9495,1. The Traditionalist,Healthcare,51-250,Cologne,Customer Service Efficiency,1,2,3,4,1,1,1,5,4,1,2,1,1,1,1,1,1,1,2,1,1,1,3,1,1,5,3,1,1,1,2,1,2,1,1
CMP-6287,2. The Curious Experimenter,Logistics,51-250,Berlin,Task Automation,2,1,2,1,1,3,3,3,2,2,2,2,2,2,2,3,3,1,2,1,2,1,1,2,5,3,1,2,1,2,2,2,3,2,2
CMP-9903,2. The Curious Experimenter,Logistics,51-250,Berlin,Customer Service Efficiency,4,2,2,1,2,3,3,2,3,2,3,3,2,2,3,2,2,2,1,3,1,3,3,2,2,1,2,4,1,2,2,1,2,2,1
CMP-1188,2. The Curious Experimenter,Retail,51-250,Munich,Cost Reduction,2,2,2,2,2,1,2,2,2,1,2,2,3,4,3,2,3,2,2,2,2,1,2,2,2,5,2,2,2,2,2,2,2,2,1
CMP-4486,2. The Curious Experimenter,Healthcare,251-500,Hamburg,Customer Service Efficiency,2,2,2,2,2,1,3,2,2,3,1,3,2,2,1,2,2,2,2,1,2,1,2,1,2,1,4,2,3,3,3,2,2,2,2
CMP-6209,2. The Curious Experimenter,Finance,1-50,Cologne,Task Automation,1,2,2,2,1,3,2,3,3,2,5,3,3,3,3,2,2,3,2,2,1,5,1,1,2,3,3,3,3,1,2,1,2,1,1
CMP-2314,2. The Curious Experimenter,Retail,1-50,Hamburg,Data Insights,1,2,2,3,2,3,5,2,2,5,3,2,2,2,2,1,3,2,2,1,2,3,2,2,1,1,2,1,3,4,2,2,2,2,2
CMP-9949,2. The Curious Experimenter,Healthcare,1-50,Stuttgart,Search/Recommendations,2,5,1,2,2,3,1,5,3,3,2,4,2,2,2,2,2,2,1,4,2,3,3,3,2,1,2,1,3,4,1,2,1,2,2
CMP-9250,2. The Curious Experimenter,Healthcare,251-500,Munich,Data Insights,1,2,2,1,2,2,2,2,3,2,3,2,3,3,2,2,3,2,4,1,3,3,1,1,2,3,2,1,3,2,2,2,2,2,2
CMP-7888,2. The Curious Experimenter,Manufacturing,251-500,Frankfurt,Document Processing,2,2,2,2,4,2,2,2,2,2,5,2,2,2,2,1,2,2,1,2,1,2,1,2,3,2,2,1,2,2,2,1,1,1,2
CMP-1848,2. The Curious Experimenter,Services,1-50,Munich,Search/Recommendations,5,1,2,2,2,2,2,2,2,4,2,3,4,2,3,3,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1
CMP-2946,2. The Curious Experimenter,Logistics,51-250,Berlin,Data Insights,3,2,1,2,2,3,2,2,5,3,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,2,2,4,1,2,3,2,1,2
CMP-6352,2. The Curious Experimenter,Finance,1-50,Cologne,Document Processing,3,2,2,3,2,2,2,1,2,2,1,1,2,3,1,2,3,3,2,1,2,4,2,2,2,2,2,2,4,2,2,2,2,2,3
CMP-8074,2. The Curious Experimenter,Healthcare,51-250,Hamburg,Document Processing,2,3,2,2,5,2,2,3,3,3,2,2,2,2,2,2,5,2,2,2,2,1,5,1,3,1,2,2,2,1,2,2,2,2,1
CMP-2433,2. The Curious Experimenter,Tech SME,1-50,Hamburg,Document Processing,2,4,2,3,2,3,2,2,5,5,2,2,3,2,1,2,2,2,2,2,3,1,2,1,3,1,2,4,2,4,2,2,2,2,2
CMP-6941,2. The Curious Experimenter,Logistics,51-250,Hamburg,Document Processing,1,1,2,2,1,2,1,2,2,2,1,3,3,1,2,2,2,2,2,2,2,5,2,3,2,4,1,2,3,2,1,2,2,2,3
CMP-9802,2. The Curious Experimenter,Tech SME,251-500,Hamburg,Data Insights,1,2,2,2,2,5,2,2,3,1,3,2,4,3,2,2,2,1,2,3,2,3,2,1,2,2,3,3,3,1,2,2,2,2,2
CMP-4875,2. The Curious Experimenter,Tech SME,251-500,Stuttgart,Customer Service Efficiency,2,2,2,2,2,2,1,1,1,2,1,2,5,3,5,2,3,2,2,2,2,2,3,2,2,2,2,5,1,2,2,1,5,2,1
CMP-6710,2. The Curious Experimenter,Retail,251-500,Stuttgart,Document Processing,2,2,2,3,5,1,2,2,1,1,5,2,2,2,1,3,3,2,2,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
CMP-6888,2. The Curious Experimenter,Manufacturing,251-500,Frankfurt,Search/Recommendations,2,2,3,2,2,2,2,2,1,2,3,2,4,2,2,2,2,2,2,2,5,2,2,3,1,4,1,3,2,2,3,2,1,2,1
