Dim,Header,Question Text,Type,Wgt,a,b,c,d,e,f,g,h
Use Cases & Business Value,AI Feasibility,How rigorously does your organization validate the technical and regulatory feasibility of an AI use case before committing resources?,Statement,4%,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,"Reactive Assessment – We perform basic checks only after a project has started, often leading to delays or ""stuck"" projects when data or legal issues unexpectedly emerge.","Basic Due Diligence – We have an informal ""Pre-Check"" for major projects where we verify if the necessary data exists and if there are obvious legal hurdles.","Structured Validation – We use a clear ""Go/No-Go"" process for every use case that validates data readiness, process alignment, and regulatory compliance before any budget is released.","Optimized Strategic Filtering – We use a standardized, data-driven validation engine that ensures every initiative is perfectly aligned with business goals, technical capabilities, and compliance standards from the start.",,,
,Current Activity,How many AI use cases are currently active?,Slider,4%,Not started ,Theory / Brainstorm,1-2 Active Pilots,Multiple live apps,AI embedded in product,,,
,ROI Tracking,Do you measure the financial impact of AI projects?,Choice,4%,No tracking,Cost tracking only,Qualitative impact,Defined KPI tracking,Strict Financial ROI,,,
,Strategic Priority,"To what extent does AI address concrete bottlenecks in your core business operations rather than experimental topics?
",Statement,4%,"AI initiatives are mostly exploratory and disconnected from core business bottlenecks.

","Some AI use cases touch core processes, but they are not focused on the most critical constraints.","AI is applied to known bottlenecks in the core business, with mixed or unproven impact.",AI systematically targets high-impact bottlenecks in core business operations and delivers measurable improvements.,AI is a strategic lever to remove or redefine core business bottlenecks and shapes how the business competes.,,,
Processes & Scaling,Standardization,Are core processes documented and repeatable?,Choice,4%,Knowledge in heads,Rough checklists,Partially documented,Standard SOPs,Fully digital workflows,,,
,Execution Maturity,"How structured is your approach to planning, implementing, and delivering AI-related projects?
",Statement,4%,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,"Individual Initiative – Project delivery depends on the effort of specific individuals; while some projects succeed, we lack a repeatable ""playbook"" for the whole team.","Basic Standardization – We use a consistent workflow (e.g., simple task tracking or weekly sprints) that allows us to manage AI projects with predictable timelines.","Targeted & Results-Oriented – We use a process specifically adapted for AI (e.g., early prototyping and data-readiness checks), ensuring we don't waste resources on unfeasible ideas.","High-Velocity Delivery – Our implementation engine is highly efficient; we can rapidly move from a ""Proof of Concept"" to a live tool with minimal friction and clear ROI tracking.",,,
,Execution Speed,How long to implement a new digital tool?,Slider,4%,> 1 Year,7 - 12 Months,3 - 6 Months,1 - 2 Months,< 4 Weeks,,,
,Scaling Capability,Is there a defined path to move AI idea to production?,Choice,4%,No plan,Theoretical idea,Case-by-case choice,Defined scaling path,Automated deployment,,,
Governance & Compliance,Guidelines,"Do you have an internal ""AI Code of Conduct""?",Choice,3%,None,Informal rules,In progress / Draft,Implemented policy,Audited Governance,,,
,Data Privacy,How strictly is data handled according to the EU AI Act?,Slider,3%,High Risk / Unknown,Minimal compliance,Basic GDPR active,Privacy-by-design,Full sovereignty,,,
,Accountability,Who is responsible for AI outcomes and errors?,Choice,3%,No one responsible,Vague / individual assignments,Shared responsibility,Clear Dept. lead,Dedicated AI Officer,,,
,Transparency,What disclosure requirements exist for external partners?,Choice,3%,"Unknown
",Defined by Partners,Minimal,Medium,High Disclosure,,,
Tech Infrastructure,Cloud Readiness,To what extent do you use Cloud infrastructure?,Slider,3%,Fully On-Premise,Modernized On-Prem,Hybrid Cloud setup,Cloud-first approach,Cloud-Native,,,
,AI Tooling Stack,What types of AI development tools are currently available in your organization? (Select all that apply),Checklist,3%,No AI development tools are currently available (Exclusive option) ,"Pre-built AI tools or platforms (e.g., analytics, chatbots, automation tools) ",Custom AI or machine learning development tools ,"Cloud-based AI services (e.g., managed AI/ML platforms) ",A combination of pre-built and custom AI tools ,Not sure,,
,IT Scalability,How easily can you scale new software company-wide?,Slider,3%,Manual/Painful,Labor intensive,Standard IT process,Modular & easy,Instant/Auto-scaling,,,
