Tabelle 1
Dimension;Header;Question_Text;Question_Type;Weight;Level 1;Level 2;Level 3;Level 4;Level 5;Level 6;Level 7;Level 8;Level 9;;;;;;;;;;;;
;Data Quality;"Describe the ""cleanliness"" of your business data.";Slider;4 %;Messy / Siloed;Basic digital records;Partially cleaned;Standardized formats;High-quality/Auto-sync;;;;;;;;;;;;;;;;
;Staff Proficiency;How comfortable is your team with data insights?;Choice;3,50 %;Struggling / No skill;Basic tool awareness;Comfortable with KPIs;Analytical mindsets;Data-driven experts;;;;;;;;;;;;;;;;
Use Cases & Business Value;AI Feasibility;How rigorously does your organization validate the technical and regulatory feasibility of an AI use case before committing resources?;Statement;4 %;"Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.";"Reactive Assessment – We perform basic checks only after a project has started, often leading to delays or ""stuck"" projects when data or legal issues unexpectedly emerge.";"Basic Due Diligence – We have an informal ""Pre-Check"" for major projects where we verify if the necessary data exists and if there are obvious legal hurdles.";"Structured Validation – We use a clear ""Go/No-Go"" process for every use case that validates data readiness, process alignment, and regulatory compliance before any budget is released.";Optimized Strategic Filtering – We use a standardized, data-driven validation engine that ensures every initiative is perfectly aligned with business goals, technical capabilities, and compliance standards from the start.;;;;;;;;;;;;;;;;
;Current Activity;How many AI use cases are currently active?;Slider;3 %;Not started;Theory / Brainstorm;1-2 Active Pilots;Multiple live apps;AI embedded in product;;;;;;;;;;;;;;;;
;ROI Tracking;Do you measure the financial impact of AI projects?;Choice;4 %;No tracking;Cost tracking only;Qualitative impact;Defined KPI tracking;Strict Financial ROI;;;;;;;;;;;;;;;;
;Strategic Priority;To what extent does AI address concrete bottlenecks in your core business operations rather than experimental topics?;Statement;4,50 %;AI initiatives are mostly exploratory and disconnected from core business bottlenecks.;Some AI use cases touch core processes, but they are not focused on the most critical constraints.;AI is applied to known bottlenecks in the core business, with mixed or unproven impact.;AI systematically targets high-impact bottlenecks in core business operations and delivers measurable improvements.;AI is a strategic lever to remove or redefine core business bottlenecks and shapes how the business competes.;;;;;;;;;;;;;;;;
Processes & Scaling;Standardization;Are core processes documented and repeatable?;Choice;4,50 %;Knowledge in heads;Rough checklists;Partially documented;Standard SOPs;Fully digital workflows;;;;;;;;;;;;;;;;
;Execution Maturity;How structured is your approach to planning, implementing, and delivering AI-related projects?;Statement;4,50 %;"Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.";"Individual Initiative – Project delivery depends on the effort of specific individuals; while some projects succeed, we lack a repeatable ""playbook"" for the whole team.";Basic Standardization – We use a consistent workflow (e.g., simple task tracking or weekly sprints) that allows us to manage AI projects with predictable timelines.;Targeted & Results-Oriented – We use a process specifically adapted for AI (e.g., early prototyping and data-readiness checks), ensuring we don't waste resources on unfeasible ideas.;"High-Velocity Delivery – Our implementation engine is highly efficient; we can rapidly move from a ""Proof of Concept"" to a live tool with minimal friction and clear ROI tracking.";;;;;;;;;;;;;;;;
;Execution Speed;How long to implement a new digital tool?;Slider;3,50 %;> 1 Year;7 - 12 Months;3 - 6 Months;1 - 2 Months;< 4 Weeks;;;;;;;;;;;;;;;;
;Scaling Capability;Is there a defined path to move AI idea to production?;Choice;3,50 %;No plan;Theoretical idea;Case-by-case choice;Defined scaling path;Automated deployment;;;;;;;;;;;;;;;;
Governance & Compliance;Guidelines;"Do you have an internal ""AI Code of Conduct""?";Choice;3 %;None;Informal rules;In progress / Draft;Implemented policy;Audited Governance;;;;;;;;;;;;;;;;
;Data Privacy;How strictly is data handled according to the EU AI Act?;Slider;3,50 %;High Risk / Unknown;Minimal compliance;Basic GDPR active;Privacy-by-design;Full sovereignty;;;;;;;;;;;;;;;;
;Accountability;Who is responsible for AI outcomes and errors?;Choice;3 %;No one responsible;Vague / individual assignments;Shared responsibility;Clear Dept. lead;Dedicated AI Officer;;;;;;;;;;;;;;;;
;Transparency;What disclosure requirements exist for external partners?;Choice;3 %;Unknown;Defined by Partners;Minimal;Medium;High Disclosure;;;;;;;;;;;;;;;;
Tech Infrastructure;Cloud Readiness;To what extent do you use Cloud infrastructure?;Slider;3 %;Fully On-Premise;Modernized On-Prem;Hybrid Cloud setup;Cloud-first approach;Cloud-Native;;;;;;;;;;;;;;;;
;AI Tooling Stack;What types of AI development tools are currently available in your organization? (Select all that apply);Checklist;3,50 %;No AI development tools are currently available (Exclusive option);Pre-built AI tools or platforms (e.g., analytics, chatbots, automation tools);Custom AI or machine learning development tools;Cloud-based AI services (e.g., managed AI/ML platforms);A combination of pre-built and custom AI tools;Not sure;;;;;;;;;;;;;;;
;IT Scalability;How easily can you scale new software company-wide?;Slider;3 %;Manual/Painful;Labor intensive;Standard IT process;Modular & easy;Instant/Auto-scaling;;;;;;;;;;;;;;;;
General Psychology;Motivation;Why are you doing this AI assessment?;Statement;;External Pressure – We are responding to external hype or competitor moves without a clear internal goal.;Resource Optimization – We want to identify where AI can reduce costs or automate repetitive manual tasks.;Strategic Clarity – We need a professional roadmap to align AI initiatives with our core business objectives.;Readiness Check – We aim to evaluate our technical infrastructure and workforce skills for upcoming scaling.;Competitive Advantage – We are seeking to define a market-leading position through high-impact AI innovation.;;;;;;;;;;;;;;;;
;Business Priorities;Which business challenge is your top priority? (Select all that apply);Checklist;;Improving customer service efficiency;Automating repetitive tasks;Better data analysis and insights;Enhancing search/recommendation capabilities;Streamlining document processing;Personalizing customer experiences;Reducing operational costs;Other;;;;;;;;;;;;;
;Strategic Impact;How is AI influencing your organization’s strategy?;Choice;;No Impact – We have not assessed AI trends and have no documented strategy regarding them.;Reactive – We acknowledge the trend but only respond to external pressures on an ad-hoc basis.;Exploratory – We monitor trends and have initiated pilot projects to address specific needs.;Strategic – AI is a key planning driver with a formal roadmap for systematic integration.;Innovative – We leverage AI to redefine our business model and set industry standards.;;;;;;;;;;;;;;;;
;AI Ownership;Who is the primary driver of AI within your organization? (Select all that apply);Checklist;;Executive Leadership / Board;IT / Technology Department;Digital Transformation / Innovation Team;Sales & Marketing;Operations & Supply Chain;Data Science / Analytics Specialists;Individual Employees / Early Adopters;External Partners / Consultants;No Clear Internal Driver;;;;;;;;;;;;
;Responsibility;Are you in charge of AI initiatives?;Choice;;No;Sometimes;Yes;;;;;;;;;;;;;;;;;;
;Role & Seniority;Which option best describes your position and decision authority? (Select all that apply);Checklist;;Executive / C-level;Senior Management;Product / Process Owner;IT / Technology Management;Data / AI Specialist;Business Analyst / Strategy / Innovation role;Operational Staff / Domain Expert;Project / Program Manager;External Consultant / Advisor;;;;;;;;;;;;
