Company_ID,Company_Name*,Industry*,Website,Employee_Count,City,Cluster_Profile,How is AI prioritized in management meetings?,Does a documented AI strategy or roadmap exist?,How is AI funding and investment handled?,What is your goal regarding AI vs. competitors?,How do employees generally react to the topic of AI?,"To what extent are AI capabilities and technical literacy established across your workforce? E.g. expertise in machine learning and NLP, as well as general AI literacy for non-technical staff.",How often do employees receive AI training?,"Is it ""okay"" to fail with an AI pilot project?",What types of business data do you actively collect? (Select all that apply),Do you currently use any of these technologies? (Select all that apply),"Describe the ""cleanliness"" of your business data.",How comfortable is your team with data insights?,How rigorously does your organization validate the technical and regulatory feasibility of an AI use case before committing resources?,How many AI use cases are currently active?,Do you measure the financial impact of AI projects?,To what extent does AI address concrete bottlenecks in your core business operations rather than experimental topics?,Are core processes documented and repeatable?,"How structured is your approach to planning, implementing, and delivering AI-related projects?",How long to implement a new digital tool?,Is there a defined path to move AI idea to production?,"Do you have an internal ""AI Code of Conduct""?",How strictly is data handled according to the EU AI Act?,Who is responsible for AI outcomes and errors?,What disclosure requirements exist for external partners?,To what extent do you use Cloud infrastructure?,What types of AI development tools are currently available in your organization? (Select all that apply),How easily can you scale new software company-wide?,Why are you doing this AI assessment?,Which business challenge is your top priority? (Select all that apply),How is AI influencing your organization’s strategy?,Who is the primary driver of AI within your organization? (Select all that apply),Are you in charge of AI initiatives?,Which option best describes your position and decision authority? (Select all that apply)
525,Skyline SME,Retail,www.skyline-sme.de,51-250,Munich,1. The Traditionalist,Rare mention in meetings,Rough ideas shared,No budget available,Avoidance / Refusal,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,"Customer feedback and reviews, Product data, Customer interactions (emails, chats, calls)",Internal (on-premise) servers,Messy / Siloed,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,No tracking,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,No plan,Informal rules,Full sovereignty,No one responsible,Defined by Partners,Fully On-Premise,"A combination of pre-built and custom AI tools, No AI development tools are currently available (Exclusive option)",Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Enhancing search/recommendation capabilities, Better data analysis and insights, Improving customer service efficiency",Strategic – AI is a key planning driver with a formal roadmap for systematic integration.,"No Clear Internal Driver, IT / Technology Department, Data Science / Analytics Specialists",Yes,"Operational Staff / Domain Expert, Data / AI Specialist"
781,Blue Harbor Solutions,Retail,www.blue-harbor-solutions.de,500+,Berlin,1. The Traditionalist,Not a topic / Ignored,None / No plan,No budget available,Late adopter,Fear / Resistance,Isolated Proficiency - AI knowledge is siloed within a few individuals; significant skill gaps across most departments currently hinder broader adoption.,Occasional webinars,Failure is punished,"Website/app usage analytics, Financial and operational metrics, Limited data collection (Exclusive option)","None of the above (Exclusive option), CRM systems (Salesforce, HubSpot, etc.), Cloud platforms (AWS, Azure, Google Cloud)",Messy / Siloed,Struggling / No skill,"Reactive Assessment – We perform basic checks only after a project has started, often leading to delays or ""stuck"" projects when data or legal issues unexpectedly emerge.",Not started,No tracking,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,7 - 12 Months,Case-by-case choice,Informal rules,High Risk / Unknown,No one responsible,Unknown,Fully On-Premise,"Pre-built AI tools or platforms (e.g., analytics, chatbots, automation tools), Custom AI or machine learning development tools, No AI development tools are currently available (Exclusive option)",Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Reducing operational costs, Automating repetitive tasks",Reactive – We acknowledge the trend but only respond to external pressures on an ad-hoc basis.,Digital Transformation / Innovation Team,Yes,"Senior Management, Operational Staff / Domain Expert, Executive / C-level"
1270,Quantum GmbH,Construction,www.quantum-gmbh.de,1-50,Berlin,1. The Traditionalist,Not a topic / Ignored,None / No plan,Dedicated Dept. budget,Late adopter,Skeptical / Passive,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,Employee/HR data,"None of the above (Exclusive option), Internal (on-premise) servers, CRM systems (Salesforce, HubSpot, etc.)",Messy / Siloed,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Theory / Brainstorm,No tracking,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,Theoretical idea,In progress / Draft,High Risk / Unknown,No one responsible,Unknown,Cloud-Native,"Custom AI or machine learning development tools, A combination of pre-built and custom AI tools, Not sure",Labor intensive,Resource Optimization – We want to identify where AI can reduce costs or automate repetitive manual tasks.,Streamlining document processing,Strategic – AI is a key planning driver with a formal roadmap for systematic integration.,"Operations & Supply Chain, Executive Leadership / Board, Digital Transformation / Innovation Team",Sometimes,Data / AI Specialist
1451,Iron Digital,Finance,www.iron-digital.de,51-250,Munich,1. The Traditionalist,Not a topic / Ignored,Formalized document,Case-by-case funding,Avoidance / Refusal,Fear / Resistance,Isolated Proficiency - AI knowledge is siloed within a few individuals; significant skill gaps across most departments currently hinder broader adoption.,Never / None,Failure is punished,"Customer interactions (emails, chats, calls), Limited data collection (Exclusive option), Website/app usage analytics",API integrations between systems,Messy / Siloed,Basic tool awareness,"Optimized Strategic Filtering – We use a standardized, data-driven validation engine that ensures every initiative is perfectly aligned with business goals, technical capabilities, and compliance standards from the start.",Not started,No tracking,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,Theoretical idea,Informal rules,Minimal compliance,No one responsible,High Disclosure,Modernized On-Prem,Not sure,Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Better data analysis and insights, Personalizing customer experiences",Innovative – We leverage AI to redefine our business model and set industry standards.,"Data Science / Analytics Specialists, Executive Leadership / Board, Individual Employees / Early Adopters",No,External Consultant / Advisor
407,Alpha Digital,Healthcare,www.alpha-digital.de,500+,Berlin,1. The Traditionalist,Rare mention in meetings,None / No plan,No budget available,Avoidance / Refusal,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Blame culture,"Product data, Customer interactions (emails, chats, calls)","Internal (on-premise) servers, E-commerce platforms (Shopify, WooCommerce, etc.), ERP System",Messy / Siloed,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,No tracking,"Some AI use cases touch core processes, but they are not focused on the most critical constraints.",Knowledge in heads,"Individual Initiative – Project delivery depends on the effort of specific individuals; while some projects succeed, we lack a repeatable ""playbook"" for the whole team.",> 1 Year,No plan,Informal rules,Basic GDPR active,No one responsible,Unknown,Fully On-Premise,"Custom AI or machine learning development tools, Not sure, A combination of pre-built and custom AI tools",Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Automating repetitive tasks, Better data analysis and insights, Enhancing search/recommendation capabilities",Strategic – AI is a key planning driver with a formal roadmap for systematic integration.,"Data Science / Analytics Specialists, Operations & Supply Chain",No,"External Consultant / Advisor, IT / Technology Management, Operational Staff / Domain Expert"
653,Skyline Logistics,Construction,www.skyline-logistics.de,251-500,Düsseldorf,1. The Traditionalist,Not a topic / Ignored,Rough ideas shared,No budget available,Avoidance / Refusal,Fear / Resistance,Isolated Proficiency - AI knowledge is siloed within a few individuals; significant skill gaps across most departments currently hinder broader adoption.,Never / None,Failure is punished,"Financial and operational metrics, Customer interactions (emails, chats, calls), Product data","None of the above (Exclusive option), ERP System",Messy / Siloed,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,Qualitative impact,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,No plan,Informal rules,High Risk / Unknown,No one responsible,Unknown,Fully On-Premise,"Not sure, Cloud-based AI services (e.g., managed AI/ML platforms), Pre-built AI tools or platforms (e.g., analytics, chatbots, automation tools)",Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Personalizing customer experiences, Reducing operational costs, Streamlining document processing",Exploratory – We monitor trends and have initiated pilot projects to address specific needs.,"Sales & Marketing, Operations & Supply Chain",Yes,Executive / C-level
311,Nexus Solutions,Healthcare,www.nexus-solutions.de,1-50,Düsseldorf,1. The Traditionalist,Not a topic / Ignored,High-level draft exists,No budget available,Avoidance / Refusal,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,Employee/HR data,"Cloud platforms (AWS, Azure, Google Cloud)",Messy / Siloed,Basic tool awareness,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,Qualitative impact,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Fully digital workflows,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,7 - 12 Months,No plan,Informal rules,High Risk / Unknown,No one responsible,Unknown,Fully On-Premise,"A combination of pre-built and custom AI tools, Pre-built AI tools or platforms (e.g., analytics, chatbots, automation tools), Custom AI or machine learning development tools",Standard IT process,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Better data analysis and insights, Enhancing search/recommendation capabilities",Innovative – We leverage AI to redefine our business model and set industry standards.,Executive Leadership / Board,Yes,"Business Analyst / Strategy / Innovation role, Operational Staff / Domain Expert"
648,Zenith AG,Finance,www.zenith-ag.de,51-250,Munich,1. The Traditionalist,Rare mention in meetings,None / No plan,No budget available,Late adopter,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Never / None,Failure is punished,"Financial and operational metrics, Product data","None of the above (Exclusive option), API integrations between systems, ERP System",Messy / Siloed,Basic tool awareness,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,Qualitative impact,AI initiatives are mostly exploratory and disconnected from core business bottlenecks.,Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,3 - 6 Months,No plan,Informal rules,Privacy-by-design,No one responsible,Unknown,Fully On-Premise,"No AI development tools are currently available (Exclusive option), Custom AI or machine learning development tools",Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Reducing operational costs, Personalizing customer experiences",Exploratory – We monitor trends and have initiated pilot projects to address specific needs.,Operations & Supply Chain,Yes,Business Analyst / Strategy / Innovation role
745,Zenith SME,Finance,www.zenith-sme.de,251-500,Düsseldorf,1. The Traditionalist,Not a topic / Ignored,None / No plan,No budget available,Late adopter,Fear / Resistance,"Unaware / Non-Existent - We lack clarity on our current AI proficiency, and there are no identifiable AI skills or initiatives within the workforce.",Continuous learning,Failure is punished,"Customer feedback and reviews, Limited data collection (Exclusive option), Customer interactions (emails, chats, calls)",ERP System,Messy / Siloed,Struggling / No skill,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,1-2 Active Pilots,Cost tracking only,AI systematically targets high-impact bottlenecks in core business operations and delivers measurable improvements.,Rough checklists,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,7 - 12 Months,No plan,Informal rules,High Risk / Unknown,No one responsible,Minimal,Modernized On-Prem,"A combination of pre-built and custom AI tools, No AI development tools are currently available (Exclusive option)",Instant/Auto-scaling,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,Improving customer service efficiency,Innovative – We leverage AI to redefine our business model and set industry standards.,"Data Science / Analytics Specialists, Operations & Supply Chain",No,"Operational Staff / Domain Expert, Product / Process Owner, External Consultant / Advisor"
852,Alpha AG,Retail,www.alpha-ag.de,500+,Berlin,1. The Traditionalist,Not a topic / Ignored,None / No plan,Case-by-case funding,Avoidance / Refusal,Fear / Resistance,"Strategic Expert Leadership - AI expertise is a core competency company-wide; internal specialists lead R&D, mentor staff, and drive industry-leading innovation.",Never / None,Failure is punished,"Customer feedback and reviews, Website/app usage analytics, Sales and transaction data",API integrations between systems,Basic digital records,Analytical mindsets,Minimal / Unsure – We do not have a formal feasibility check; projects are often started based on excitement or intuition without verifying data or compliance requirements first.,Not started,No tracking,"Some AI use cases touch core processes, but they are not focused on the most critical constraints.",Knowledge in heads,Undefined / Ad-hoc – We do not have a set process for AI projects; tasks are handled as they arise without formal planning or clear ownership.,> 1 Year,Defined scaling path,Audited Governance,High Risk / Unknown,Clear Dept. lead,Unknown,Fully On-Premise,"Pre-built AI tools or platforms (e.g., analytics, chatbots, automation tools)",Manual/Painful,External Pressure – We are responding to external hype or competitor moves without a clear internal goal.,"Improving customer service efficiency, Personalizing customer experiences",Innovative – We leverage AI to redefine our business model and set industry standards.,"Sales & Marketing, IT / Technology Department, Digital Transformation / Innovation Team",No,Business Analyst / Strategy / Innovation role
